Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Epilepsy,Neurological,Chronic,Seizures,Loss of consciousness,Confusion,,,,,Phenytoin,Valproate,,
Stroke,Neurological,Severe,Sudden numbness,Trouble speaking,Confusion,,,,,Alteplase,Aspirin,,
Alzheimer's Disease,Neurological,Chronic,Memory loss,Confusion,Difficulty tasks,,,,,Donepezil,Memantine,,
Parkinson's Disease,Neurological,Chronic,Tremor,Slowness of movement,Balance issues,,,,,Levodopa,Carbidopa,,
Depression,Mental Health,Chronic,Persistent sadness,Loss of interest,Fatigue,,,,,Fluoxetine,Sertraline,,
Anxiety Disorder,Mental Health,Moderate,Rapid heartbeat,Restlessness,Sweating,,,,,Alprazolam,Buspirone,,
Schizophrenia,Mental Health,Chronic,Hallucinations,Delusions,Disorganized speech,,,,,Risperidone,Olanzapine,,
Bipolar Disorder,Mental Health,Chronic,Manic episodes,Mood swings,Depression,,,,,Lithium,Lamotrigine,,
Gastroenteritis,Digestive,Mild,Diarrhea,Vomiting,Dehydration,Abdominal cramps,,,,ORS,Loperamide,,
Peptic Ulcer,Digestive,Moderate,Stomach pain,Bloating,Nausea,,,,,Omeprazole,Ranitidine,,
IBS,Digestive,Chronic,Abdominal pain,Constipation,Diarrhea,Bloating,,,,Dicyclomine,Loperamide,,
Crohn's Disease,Digestive,Chronic,Abdominal pain,Diarrhea,Weight loss,Fatigue,,,,Mesalamine,Infliximab,,
Ulcerative Colitis,Digestive,Chronic,Rectal bleeding,Abdominal pain,Diarrhea,,,,,Sulfasalazine,Prednisolone,,
Hepatitis B,Infectious,Severe,Jaundice,Abdominal pain,Fatigue,Nausea,,,,Tenofovir,Entecavir,,
Hepatitis C,Infectious,Severe,Jaundice,Joint pain,Fatigue,Nausea,,,,Sofosbuvir,Ledipasvir,,
Dengue Fever,Infectious,Moderate,High fever,Joint pain,Muscle pain,Rash,,,,Paracetamol,Fluids,,
Malaria,Infectious,Severe,Fever,Vomiting,Chills,Sweating,,,,Artemether-lumefantrine,Chloroquine,,
Chickenpox,Infectious,Mild,Itchy rash,Fever,Fatigue,Loss of appetite,,,,Acyclovir,Calamine lotion,,
Measles,Infectious,Moderate,Rash,Fever,Cough,Runny nose,Red eyes,,,Vitamin A,Paracetamol,,
Mumps,Infectious,Mild,Swollen salivary glands,Fever,Muscle aches,Headache,,,,Ibuprofen,Fluids,,
Rubella,Infectious,Mild,Rash,Swollen lymph nodes,Fever,Joint pain,,,,Paracetamol,Rest,,
Typhoid,Infectious,Moderate,Prolonged fever,Abdominal pain,Rash,Headache,,,,Ciprofloxacin,Azithromycin,,
Leptospirosis,Infectious,Moderate,Fever,Vomiting,Muscle pain,Red eyes,,,,Doxycycline,Penicillin,,
Tetanus,Infectious,Severe,Lockjaw,Muscle stiffness,Trouble swallowing,,,,,Metronidazole,Tetanus immune globulin,,
Ringworm,Skin,Mild,Red scaly patches,Itching,Cracking skin,,,,,Clotrimazole,Terbinafine,,
Scabies,Skin,Mild,Intense itching,Rash,Sores,,,,,Permethrin,Ivermectin,,
Psoriasis,Skin,Chronic,Red patches,Silvery scales,Itching,Dry skin,,,,Methotrexate,Calcipotriol,,
Eczema,Skin,Chronic,Itching,Dry skin,Red patches,Cracking skin,,,,Hydrocortisone,Moisturizers,,
Acne,Skin,Mild,Pimples,Inflammation,Blackheads,Oily skin,,,,Benzoyl peroxide,Salicylic acid,,
Hives,Allergy,Mild,Raised red bumps,Itching,Swelling,,,,,Antihistamines,Cetirizine,,
Anaphylaxis,Allergy,Severe,Difficulty breathing,Low blood pressure,Swelling,Rash,,,,Epinephrine,Diphenhydramine,,
Food Poisoning,Digestive,Moderate,Vomiting,Diarrhea,Stomach cramps,Fever,,,,ORS,Loperamide,,
Appendicitis,Digestive,Severe,Abdominal pain,Nausea,Vomiting,Loss of appetite,,,,Ceftriaxone,Metronidazole,,
Gallstones,Digestive,Moderate,Upper abdominal pain,Nausea,Vomiting,Indigestion,,,,Ursodiol,Pain relievers,,
Pancreatitis,Digestive,Severe,Upper abdominal pain,Vomiting,Nausea,Fever,,,,Pain relievers,Enzyme supplements,,
Kidney Stones,Urinary,Severe,Flank pain,Vomiting,Nausea,Blood in urine,,,,Tamsulosin,Pain relievers,,
UTI (Urinary Tract Infection),Urinary,Mild,Burning sensation,Frequent urination,Pelvic pain,Cloudy urine,,,,Nitrofurantoin,Trimethoprim,,
Pyelonephritis,Urinary,Severe,Back pain,Fever,Nausea,Urinary frequency,,,,Ciprofloxacin,Amoxicillin,,
Prostatitis,Urinary,Moderate,Pelvic pain,Painful urination,Fever,Frequent urination,,,,Doxycycline,Ibuprofen,,
BPH (Benign Prostatic Hyperplasia),Urinary,Chronic,Frequent urination,Difficulty starting,Weak urine stream,Urgency,,,,Tamsulosin,Finasteride,,
Erectile Dysfunction,Reproductive,Mild,Difficulty maintaining erection,Low libido,Anxiety,Stress,,,,Sildenafil,Tadalafil,,
PCOS (Polycystic Ovary Syndrome),Reproductive,Moderate,Irregular periods,Weight gain,Acne,Excess hair growth,,,,Metformin,Oral contraceptives,,
Endometriosis,Reproductive,Chronic,Pelvic pain,Painful periods,Infertility,Fatigue,,,,NSAIDs,Hormonal therapy,,
Menstrual Cramps,Reproductive,Mild,Lower abdominal pain,Fatigue,Nausea,Bloating,,,,Ibuprofen,Naproxen,,
Vaginal Yeast Infection,Reproductive,Mild,Itching,Discharge,Burning sensation,Redness,,,,Fluconazole,Clotrimazole,,
HIV/AIDS,Infectious,Severe,Weight loss,Recurrent infections,Fatigue,Night sweats,,,,Tenofovir,Lamivudine,,
Syphilis,Infectious,Severe,Painless sores,Rash,Fever,Swollen lymph nodes,,,,Penicillin,Doxycycline,,
Gonorrhea,Infectious,Moderate,Painful urination,Discharge,Pelvic pain,Testicular pain,,,,Ceftriaxone,Azithromycin,,
Chlamydia,Infectious,Moderate,Painful urination,Discharge,Burning sensation,Lower abdominal pain,,,,Azithromycin,Doxycycline,,
Genital Herpes,Infectious,Moderate,Painful blisters,Burning during urination,Itching,Flu-like symptoms,,,,Acyclovir,Valacyclovir,,
HPV (Human Papillomavirus),Infectious,Mild,Warts,Skin lesions,Itching,,,,,Imiquimod,Podofilox,,
Cervical Cancer,Cancer,Severe,Vaginal bleeding,Pelvic pain,Pain during intercourse,Fatigue,,,,Cisplatin,Paclitaxel,Radiation therapy,
Breast Cancer,Cancer,Severe,Lump in breast,Skin dimpling,Nipple discharge,Breast pain,,,,Tamoxifen,Doxorubicin,Paclitaxel,
Lung Cancer,Cancer,Severe,Cough,Chest pain,Shortness of breath,Weight loss,,,,Cisplatin,Etoposide,Radiation therapy,
Colorectal Cancer,Cancer,Severe,Blood in stool,Abdominal pain,Weight loss,Constipation,,,,Oxaliplatin,Fluorouracil,Radiation therapy,
Prostate Cancer,Cancer,Severe,Frequent urination,Weak stream,Pelvic pain,Blood in urine,,,,Leuprolide,Radiation therapy,,
Skin Cancer (Melanoma),Cancer,Severe,New mole,Mole changes,Itching,Bleeding,,,,Interferon,Surgery,Radiation therapy,
Leukemia,Cancer,Severe,Fatigue,Frequent infections,Easy bruising,Weight loss,,,,Imatinib,Chemotherapy,,
Lymphoma,Cancer,Severe,Swollen lymph nodes,Fatigue,Fever,Night sweats,,,,Rituximab,Chemotherapy,,
Hypertension,Cardiovascular,Chronic,Headache,Vision problems,Chest pain,Dizziness,,,,Amlodipine,Lisinopril,,
Coronary Artery Disease,Cardiovascular,Severe,Chest pain,Shortness of breath,Fatigue,Nausea,,,,Nitroglycerin,Aspirin,Atorvastatin,
Heart Failure,Cardiovascular,Severe,Shortness of breath,Swelling in legs,Fatigue,Rapid heartbeat,,,,Digoxin,Furosemide,Enalapril,
Arrhythmia,Cardiovascular,Moderate,Irregular heartbeat,Palpitations,Dizziness,Fainting,,,,Amiodarone,Beta-blockers,,
Peripheral Artery Disease,Cardiovascular,Moderate,Leg pain,Numbness,Cramping,Slow wound healing,,,,Cilostazol,Aspirin,,
Anemia,Hematologic,Moderate,Fatigue,Pale skin,Dizziness,Cold hands and feet,,,,Iron supplements,Folic acid,,
Thalassemia,Hematologic,Chronic,Fatigue,Weakness,Pale or yellow skin,Slow growth,,,,Blood transfusions,Folic acid,,
Hemophilia,Hematologic,Chronic,Easy bruising,Excessive bleeding,Joint pain,Swelling,,,,Clotting factor VIII,Desmopressin,,
Sickle Cell Anemia,Hematologic,Chronic,Pain episodes,Fatigue,Swelling,Vision problems,,,,Hydroxyurea,Pain relievers,,
Lupus,Autoimmune,Chronic,Fatigue,Joint pain,Rash,Fever,,,,Prednisone,Hydroxychloroquine,,
Rheumatoid Arthritis,Autoimmune,Chronic,Joint pain,Swelling,Stiffness,Fatigue,,,,Methotrexate,NSAIDs,,
Multiple Sclerosis,Autoimmune,Chronic,Numbness,Muscle weakness,Vision loss,Fatigue,,,,Interferons,Glatiramer acetate,,
Celiac Disease,Autoimmune,Chronic,Diarrhea,Bloating,Weight loss,Fatigue,,,,Gluten-free diet,Nutritional supplements,,
Sjogren’s Syndrome,Autoimmune,Chronic,Dry eyes,Dry mouth,Joint pain,Fatigue,,,,Pilocarpine,Hydroxychloroquine,,
Psoriatic Arthritis,Autoimmune,Chronic,Joint pain,Stiffness,Skin rash,Swelling,,,,Methotrexate,TNF inhibitors,,
Grave’s Disease,Autoimmune,Chronic,Weight loss,Heat intolerance,Anxiety,Tremors,,,,Methimazole,Beta-blockers,,
Hashimoto’s Thyroiditis,Autoimmune,Chronic,Fatigue,Weight gain,Cold intolerance,Depression,,,,Levothyroxine,,,
Addison’s Disease,Autoimmune,Severe,Fatigue,Weight loss,Low blood pressure,Nausea,,,,Hydrocortisone,Fludrocortisone,,
Cushing’s Syndrome,Endocrine,Moderate,Weight gain,Thin skin,High blood pressure,Muscle weakness,,,,Ketoconazole,Metyrapone,,
Hyperthyroidism,Endocrine,Moderate,Weight loss,Rapid heartbeat,Nervousness,Tremors,,,,Methimazole,Propylthiouracil,,
Hypothyroidism,Endocrine,Moderate,Fatigue,Weight gain,Cold sensitivity,Depression,,,,Levothyroxine,,,
Diabetes Type 1,Endocrine,Chronic,Frequent urination,Extreme thirst,Weight loss,Fatigue,,,,Insulin,Diet control,,
Diabetes Type 2,Endocrine,Chronic,Fatigue,Increased thirst,Frequent urination,Blurred vision,,,,Metformin,Glipizide,,
Polycystic Ovary Syndrome (PCOS),Endocrine,Moderate,Irregular periods,Weight gain,Acne,Excess hair growth,,,,Birth control pills,Metformin,,
Endometriosis,Reproductive,Chronic,Pelvic pain,Painful periods,Infertility,Fatigue,,,,NSAIDs,Hormonal therapy,,
Ovarian Cyst,Reproductive,Mild,Abdominal bloating,Pelvic pain,Nausea,Irregular periods,,,,Birth control pills,Pain relievers,,
Uterine Fibroids,Reproductive,Mild,Heavy bleeding,Pelvic pressure,Frequent urination,Pain during intercourse,,,,NSAIDs,Hormonal therapy,,
Erectile Dysfunction,Reproductive,Moderate,Inability to maintain erection,Low libido,Anxiety,Fatigue,,,,Sildenafil,Tadalafil,,
Prostatitis,Reproductive,Moderate,Pelvic pain,Painful urination,Urinary frequency,Fever,,,,Ciprofloxacin,Ibuprofen,,
Kidney Stones,Urinary,Severe,Flank pain,Blood in urine,Nausea,Vomiting,,,,Tamsulosin,Pain relievers,,
Urinary Tract Infection (UTI),Urinary,Mild,Burning urination,Frequent urination,Cloudy urine,Pelvic discomfort,,,,Nitrofurantoin,Trimethoprim-sulfamethoxazole,,
Glomerulonephritis,Urinary,Severe,Blood in urine,Swelling,High blood pressure,Fatigue,,,,Prednisone,Immunosuppressants,,
Chronic Kidney Disease,Urinary,Chronic,Fatigue,Swelling,Changes in urination,Nausea,,,,ACE inhibitors,Diuretics,,
Acute Kidney Injury,Urinary,Severe,Decreased urine output,Swelling,Fatigue,Confusion,,,,IV fluids,Diuretics,,
Bladder Infection,Urinary,Mild,Painful urination,Frequent urination,Lower abdominal pain,Cloudy urine,,,,Fosfomycin,Nitrofurantoin,,
Incontinence,Urinary,Moderate,Urge to urinate,Leaking urine,Frequent urination,Nocturia,,,,Anticholinergics,Pelvic therapy,,
Gout,Musculoskeletal,Moderate,Joint pain,Swelling,Redness,Stiffness,,,,Allopurinol,Colchicine,,
Osteoarthritis,Musculoskeletal,Chronic,Joint stiffness,Pain,Swelling,Reduced motion,,,,Acetaminophen,NSAIDs,,
Rheumatic Fever,Infectious,Severe,Fever,Joint pain,Rash,Fatigue,,,,Penicillin,Aspirin,,
Fibromyalgia,Musculoskeletal,Chronic,Widespread pain,Fatigue,Sleep problems,Depression,,,,Duloxetine,Pregabalin,,
Bursitis,Musculoskeletal,Mild,Joint pain,Swelling,Stiffness,Warmth,,,,NSAIDs,Corticosteroid injections,,
Tendinitis,Musculoskeletal,Mild,Pain near joint,Swelling,Tenderness,Reduced movement,,,,NSAIDs,Physical therapy,,
Sciatica,Musculoskeletal,Moderate,Lower back pain,Leg pain,Numbness,Tingling,,,,Ibuprofen,Muscle relaxants,,
Plantar Fasciitis,Musculoskeletal,Mild,Heel pain,Foot arch pain,Stiffness,Swelling,,,,NSAIDs,Stretching exercises,,
Carpal Tunnel Syndrome,Neurological,Moderate,Hand numbness,Tingling,Weak grip,Wrist pain,,,,Wrist splint,NSAIDs,,
Bell’s Palsy,Neurological,Mild,Facial drooping,Headache,Taste changes,Ear pain,,,,Prednisone,Antivirals,,
Meningitis,Infectious,Severe,Fever,Neck stiffness,Headache,Nausea,,,,Ceftriaxone,Vancomycin,,
Encephalitis,Infectious,Severe,Fever,Confusion,Seizures,Sensitivity to light,,,,Acyclovir,Corticosteroids,,
Multiple Sclerosis,Neurological,Chronic,Numbness,Vision problems,Muscle weakness,Fatigue,Balance issues,,,Interferons,Glatiramer acetate,,
Huntington’s Disease,Neurological,Severe,Movement disorders,Mood swings,Memory issues,Cognitive decline,,,,Tetrabenazine,Antidepressants,,
Myasthenia Gravis,Neurological,Severe,Muscle weakness,Drooping eyelids,Difficulty swallowing,Fatigue,,,,Pyridostigmine,Corticosteroids,,
Amyotrophic Lateral Sclerosis (ALS),Neurological,Severe,Muscle cramps,Weakness,Speech issues,Difficulty breathing,,,,Riluzole,Edaravone,,
Vertigo,Neurological,Mild,Dizziness,Balance issues,Nausea,Headache,,,,Meclizine,Dimenhydrinate,,
Tinnitus,ENT,Mild,Ringing in ears,Hearing loss,Irritability,Dizziness,,,,Zinc supplements,Antidepressants,,
Glaucoma,Eye,Chronic,Vision loss,Eye pain,Headache,Red eyes,,,,Latanoprost,Timolol,,
Cataract,Eye,Moderate,Blurred vision,Light sensitivity,Faded colors,Halos around lights,,,,Surgical removal,,,
Conjunctivitis,Eye,Mild,Redness,Itching,Watery eyes,Swelling,,,,Eye drops,Antihistamines,,
Dry Eye Syndrome,Eye,Mild,Dryness,Burning sensation,Irritation,Blurry vision,,,,Artificial tears,Cyclosporine eye drops,,
Macular Degeneration,Eye,Chronic,Central vision loss,Distortion,Blurred vision,Difficulty reading,,,,Anti-VEGF injections,Vitamin supplements,,
Retinal Detachment,Eye,Severe,Vision loss,Shadow over vision,Flashes of light,Floaters,,,,Laser surgery,Cryotherapy,,
Herpes Simplex Virus (HSV),Infectious,Moderate,Sores,Pain,Itching,Fever,,,,Acyclovir,Valacyclovir,,
HPV (Human Papillomavirus),Infectious,Mild,Warts,Pain,Itching,Burning sensation,,,,Imiquimod,Podofilox,,
Lyme Disease,Infectious,Moderate,Rash,Joint pain,Fever,Fatigue,,,,Doxycycline,Amoxicillin,,
Rabies,Infectious,Severe,Fear of water,Aggression,Hallucinations,Excess salivation,,,,Rabies vaccine,Rabies immunoglobulin,,
Anthrax,Infectious,Severe,Difficulty breathing,Chest pain,Ulcers,Fever,,,,Ciprofloxacin,Doxycycline,,
Ebola Virus Disease,Infectious,Severe,Bleeding,High fever,Vomiting,Weakness,,,,Supportive care,IV fluids,,
Zika Virus,Infectious,Mild,Conjunctivitis,Rash,Joint pain,Fever,,,,Supportive care,Rest,,
Chikungunya,Infectious,Moderate,Joint swelling,Fever,Rash,Fatigue,,,,Paracetamol,Fluids,,
Hantavirus,Infectious,Severe,Shortness of breath,Muscle aches,Fever,Cough,,,,Supportive care,Oxygen therapy,,
Marburg Virus,Infectious,Severe,Bleeding,Diarrhea,Fever,Fatigue,,,,Supportive care,Electrolyte therapy,,
Yellow Fever,Infectious,Severe,Jaundice,Fever,Vomiting,Muscle pain,,,,Supportive care,Pain relievers,,
